Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2012-2013,20,Lierse,be BEL,1. Pro League,14th,30.0,0,,0,,,0.00,,,,,0,0,,,,,,Matz Sels,GK
2013-2014,21,Gent,be BEL,1. Pro League,7th,15.0,0,,0,,,0.00,,,,,0,0,,,,,,Matz Sels,GK
2014-2015,22,Gent,be BEL,1. Pro League,1st,39.0,0,,0,,,0.00,,,,,0,0,,,,,,Matz Sels,GK
2015-2016,23,Gent,be BEL,1. Pro League,3rd,40.0,0,,0,,,0.00,,,,,0,0,,,,,,Matz Sels,GK
2016-2017,24,Newcastle Utd,eng ENG,2. Championship,1st,9.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matz Sels,GK
2017-2018,25,Anderlecht,be BEL,1. First Division A,3rd,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2018-2019,26,Strasbourg,fr FRA,1. Ligue 1,11th,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2019-2020,27,Strasbourg,fr FRA,1. Ligue 1,10th,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2020-2021,28,Strasbourg,fr FRA,1. Ligue 1,15th,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2021-2022,29,Strasbourg,fr FRA,1. Ligue 1,6th,37.0,0,2,0,0.0,0.05,0.00,0.00,,14.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matz Sels,GK
2022-2023,30,Strasbourg,fr FRA,1. Ligue 1,15th,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2023-2024,31,Strasbourg,fr FRA,1. Ligue 1,13th,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2024-2025,32,Nott'ham Forest,eng ENG,1. Premier League,3rd,19.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matz Sels,GK
2016-2017,19,Chelsea,eng ENG,1. Premier League,1st,0.3,0,1,1,100.0,3.46,3.46,0.00,0.00,,,0,0,,,,,,Ola Aina,DF
2016-2017,19,Chelsea,eng ENG,Jr. PL2 — Div. 1,5th,3.0,0,,,,,,,,,,0,0,,,,,,Ola Aina,DF
2017-2018,20,Hull City,eng ENG,2. Championship,18th,42.5,0,34,7,20.6,0.80,0.16,0.00,0.00,,,0,0,,,,,,Ola Aina,DF
2018-2019,21,Torino,it ITA,1. Serie A,7th,24.0,1,24,5,20.8,1.00,0.21,0.04,0.20,19.5,0,0,0,1.4,1.4,0.06,-0.4,-0.4,Ola Aina,DF
2019-2020,22,Torino,it ITA,1. Serie A,16th,23.1,0,12,2,16.7,0.52,0.09,0.00,0.00,24.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Ola Aina,DF
2020-2021,23,Fulham,eng ENG,1. Premier League,18th,29.6,2,14,4,28.6,0.47,0.14,0.14,0.50,24.6,1,0,0,1.2,1.2,0.09,+0.8,+0.8,Ola Aina,DF
2021-2022,24,Torino,it ITA,1. Serie A,10th,16.0,0,10,4,40.0,0.63,0.25,0.00,0.00,23.6,0,0,0,0.2,0.2,0.02,-0.2,-0.2,Ola Aina,DF
2022-2023,25,Torino,it ITA,1. Serie A,10th,9.7,1,8,3,37.5,0.82,0.31,0.13,0.33,15.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2,Ola Aina,DF
2023-2024,26,Nott'ham Forest,eng ENG,1. Premier League,17th,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7,Ola Aina,DF
2024-2025,27,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.3,2,7,2,28.6,0.38,0.11,0.29,1.00,22.8,0,0,0,0.6,0.6,0.08,+1.4,+1.4,Ola Aina,DF
2015-2016,17,Partizan,rs SRB,1. SuperLiga,2nd,3.3,1,,1,,,0.30,,1.00,,,0,0,,,,,,Nikola Milenković,DF
2016-2017,18,Partizan,rs SRB,1. SuperLiga,1st,32.0,2,0,6,,0.00,0.19,,0.33,,,0,0,,,,,,Nikola Milenković,DF
2017-2018,19,Fiorentina,it ITA,1. Serie A,8th,13.9,0,9,1,11.1,0.65,0.07,0.00,0.00,15.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Nikola Milenković,DF
2018-2019,20,Fiorentina,it ITA,1. Serie A,16th,33.4,3,29,12,41.4,0.87,0.36,0.10,0.25,15.9,0,0,0,2.7,2.7,0.09,+0.3,+0.3,Nikola Milenković,DF
2019-2020,21,Fiorentina,it ITA,1. Serie A,10th,36.2,5,29,12,41.4,0.80,0.33,0.17,0.42,14.5,0,0,0,2.6,2.6,0.09,+2.4,+2.4,Nikola Milenković,DF
2020-2021,22,Fiorentina,it ITA,1. Serie A,13th,33.7,3,21,9,42.9,0.62,0.27,0.14,0.33,12.9,0,0,0,3.9,3.9,0.21,-0.9,-0.9,Nikola Milenković,DF
2021-2022,23,Fiorentina,it ITA,1. Serie A,7th,32.5,1,23,9,39.1,0.71,0.28,0.04,0.11,16.3,0,0,0,2.1,2.1,0.09,-1.1,-1.1,Nikola Milenković,DF
2022-2023,24,Fiorentina,it ITA,1. Serie A,8th,23.7,2,19,5,26.3,0.80,0.21,0.11,0.40,9.4,0,0,0,1.9,1.9,0.10,+0.1,+0.1,Nikola Milenković,DF
2023-2024,25,Fiorentina,it ITA,1. Serie A,8th,27.9,0,10,3,30.0,0.36,0.11,0.00,0.00,19.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Nikola Milenković,DF
2024-2025,26,Nott'ham Forest,eng ENG,1. Premier League,3rd,18.0,2,18,4,22.2,1.00,0.22,0.11,0.50,13.4,0,0,0,2.8,2.8,0.15,-0.8,-0.8,Nikola Milenković,DF
2023-2024,21,Nott'ham Forest,eng ENG,1. Premier League,17th,31.0,0,17,6,35.3,0.55,0.19,0.00,0.00,22.6,2,0,0,1.8,1.8,0.11,-1.8,-1.8,Murillo,DF
2024-2025,22,Nott'ham Forest,eng ENG,1. Premier League,3rd,17.7,1,14,4,28.6,0.79,0.23,0.07,0.25,20.0,2,0,0,1.0,1.0,0.07,0.0,0.0,Murillo,DF
2008-2009,16,West Brom,eng ENG,1. Premier League,20th,0.2,0,,0,,,0.00,,,,,0,0,,,,,,Chris Wood,FW
