Season,Age,Squad,Country,Comp,LgRank,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att.1,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Player,Position
2008-2009,16,Genk,be BEL,1. First Division,8th,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40.0,39,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,36.2,41,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,29,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,24,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,30,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,29,,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,34,2,0,2,2,31.6,0.29,-0.4,-0.01,153,430,35.6,949,214,32.0,33.8,248,50.8,45.3,446,26,5.8,24,0.69,13.2,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,36,6,0,3,0,36.3,0.30,+0.3,+0.01,93,270,34.4,655,167,28.4,32.3,184,45.7,42.6,288,21,7.3,20,0.74,14.2,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,20,0,0,4,0,26.7,0.28,+6.7,+0.20,76,280,27.1,865,200,23.4,30.6,217,35.9,37.7,403,21,5.2,33,0.97,14.5,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,28,7,0,3,1,32.7,0.22,+5.7,+0.15,89,300,29.7,1086,243,20.6,29.6,235,32.3,36.6,472,26,5.5,44,1.16,15.7,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,29,2,1,2,0,33.3,0.25,+4.3,+0.12,74,251,29.5,936,188,20.3,28.8,199,30.7,34.3,467,21,4.5,31,0.86,15.5,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,29,4,0,1,0,29.7,0.22,+0.7,+0.02,83,214,38.8,982,194,18.4,27.7,152,21.7,29.5,366,32,8.7,40,1.29,15.4,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,0,0,0,0,0,3.1,0.22,+3.1,+0.85,10,19,52.6,105,25,16.2,26.7,18,11.1,27.8,47,2,4.3,5,1.36,15.3,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,15,0,0,2,1,14.1,0.31,+0.1,+0.01,28,103,27.2,520,89,14.8,26.8,76,34.2,38.3,177,10,5.6,9,0.56,10.9,Thibaut Courtois,GK
2016-2017,17,FC Dnipro,ua UKR,1. Premier League,11th,21.0,22,1,,,,,,,,,,,,,,,,,,,,,,,,Andriy Lunin,GK
2017-2018,18,Zorya Luhansk,ua UKR,1. Premier League,4th,29.0,41,0,,,,,,,,,,,,,,,,,,,,,,,,Andriy Lunin,GK
2018-2019,19,Leganés,es ESP,1. La Liga,13th,4.0,5,1,0,1,0,6.3,0.23,+1.3,+0.31,32,70,45.7,91,19,49.5,39.8,33,75.8,56.5,43,1,2.3,2,0.49,15.7,Andriy Lunin,GK
2019-2020,20,Oviedo,es ESP,2. La Liga 2,15th,20.0,20,4,0,2,0,23.2,0.23,+3.2,+0.16,173,444,39.0,365,34,76.2,50.4,172,96.5,63.0,314,14,4.5,17,0.85,12.5,Andriy Lunin,GK
2021-2022,22,Real Madrid,es ESP,1. La Liga,1st,2.0,2,1,0,0,0,3.6,0.22,+1.6,+0.81,5,10,50.0,57,13,7.0,23.3,23,26.1,33.6,39,3,7.7,0,0.00,9.9,Andriy Lunin,GK
2022-2023,23,Real Madrid,es ESP,1. La Liga,2nd,7.0,7,0,0,1,1,4.5,0.25,-1.5,-0.21,14,27,51.9,190,36,7.9,23.3,37,32.4,35.6,54,1,1.9,11,1.57,21.7,Andriy Lunin,GK
2023-2024,24,Real Madrid,es ESP,1. La Liga,1st,21.0,17,1,0,2,0,21.2,0.31,+4.2,+0.20,35,99,35.4,548,95,13.7,25.2,116,20.7,28.7,283,27,9.5,23,1.10,12.2,Andriy Lunin,GK
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,3.0,4,0,0,0,0,2.8,0.35,-1.2,-0.41,10,26,38.5,87,12,24.1,28.6,19,26.3,33.3,30,1,3.3,5,1.67,12.9,Andriy Lunin,GK
