Season,Age,Squad,Country,Comp,LgRank,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,7.6,,,,,,,,,,,,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,13.7,25,16,12,10,3,8,15,53.3,7,12,1,11,21,46,17,0,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,12,8,3,7,2,5,11,45.5,6,10,2,8,21,33,10,0,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,38,19,9,19,10,12,36,33.3,24,38,4,34,21,59,12,2,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14.8,25,16,9,8,8,10,26,38.5,16,16,2,14,22,47,4,0,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,20.4,36,16,11,16,9,12,31,38.7,19,23,5,18,24,60,12,0,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,27.8,31,20,14,11,6,13,26,50.0,13,31,4,27,17,48,15,0,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,32.3,47,34,22,13,12,24,42,57.1,18,39,2,37,43,90,40,0,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,18.3,27,17,12,13,2,15,21,71.4,6,26,4,22,39,66,21,1,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,0.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,13.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,3.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,11.1,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,29.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,17.8,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,0.8,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,29.3,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,24.5,,39,,,,,,,,,,,29,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,26.0,31,21,20,10,1,15,31,48.4,16,29,15,14,24,55,115,1,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,31.9,34,16,27,6,1,15,27,55.6,12,15,8,7,32,66,96,1,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2.0,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,1. Premier League,4th,19.0,28,18,19,7,2,16,25,64.0,9,15,9,6,16,44,59,1,Antonio Rüdiger,DF
