Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Player,Position
2008-2009,16,Genk,be BEL,1. First Division,8th,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40,40,3600,40.0,39,0.97,134,95,70.9,25,8,7,19,47.5,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,37,37,3261,36.2,41,1.13,135,94,69.6,14,11,11,15,40.5,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37,37,3330,37.0,29,0.78,120,91,75.8,22,7,8,20,54.1,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37,37,3330,37.0,24,0.65,96,72,75.0,28,6,3,20,54.1,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,32,32,2813,31.3,30,0.96,103,73,70.9,19,9,3,12,37.5,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,23,23,2020,22.4,29,1.29,93,64,68.8,8,9,5,5,21.7,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36,36,3240,36.0,28,0.78,99,71,73.7,29,3,4,16,44.4,2,2,0,0,0.0,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35,35,3150,35.0,34,0.97,106,74,69.8,20,6,9,15,42.9,2,2,0,0,0.0,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27,27,2430,27.0,36,1.33,104,67,71.2,14,3,10,8,29.6,8,6,1,1,14.3,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34,34,3060,34.0,20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,0,,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38,38,3420,38.0,28,0.74,116,88,81.9,25,9,4,17,44.7,8,7,1,0,12.5,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36,36,3240,36.0,29,0.81,120,91,77.5,26,7,3,16,44.4,3,2,1,0,33.3,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31,31,2790,31.0,29,0.94,118,88,78.8,20,5,6,10,32.3,5,4,1,0,20.0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,4,4,332,3.7,0,0.00,15,15,100.0,3,1,0,3,75.0,0,0,0,0,,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16,16,1440,16.0,15,0.94,48,34,68.8,11,4,1,6,37.5,0,0,0,0,,Thibaut Courtois,GK
2016-2017,17,FC Dnipro,ua UKR,1. Premier League,11th,21,21,1890,21.0,22,1.05,91,69,76.9,6,10,5,2,9.5,2,1,1,0,50.0,Andriy Lunin,GK
2017-2018,18,Zorya Luhansk,ua UKR,1. Premier League,4th,29,29,2610,29.0,41,1.41,129,88,68.2,10,10,9,9,31.0,1,0,1,0,100.0,Andriy Lunin,GK
2018-2019,19,Leganés,es ESP,1. La Liga,13th,5,4,364,4.0,5,1.24,19,13,78.9,1,0,3,2,50.0,2,1,1,0,50.0,Andriy Lunin,GK
2019-2020,20,Oviedo,es ESP,2. La Liga 2,15th,20,20,1800,20.0,20,1.00,72,49,77.8,8,6,6,6,30.0,7,4,3,0,42.9,Andriy Lunin,GK
2021-2022,22,Real Madrid,es ESP,1. La Liga,1st,2,2,180,2.0,2,1.00,9,6,88.9,0,1,1,0,0.0,2,1,1,0,50.0,Andriy Lunin,GK
2022-2023,23,Real Madrid,es ESP,1. La Liga,2nd,7,7,630,7.0,7,1.00,18,12,61.1,4,1,2,3,42.9,0,0,0,0,,Andriy Lunin,GK
2023-2024,24,Real Madrid,es ESP,1. La Liga,1st,21,21,1890,21.0,17,0.81,65,48,75.4,16,5,0,10,47.6,1,1,0,0,0.0,Andriy Lunin,GK
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,3,3,270,3.0,4,1.33,8,4,50.0,2,0,1,2,66.7,0,0,0,0,,Andriy Lunin,GK
