Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,7.6,,,,,,,,,,,,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,13.7,28,2.04,23,1,2,2,0,0,1,0.07,1,0,0,0,0,0,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,22,3.02,20,0,1,0,0,1,1,0.14,1,0,0,0,0,0,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,49,2.31,43,0,2,2,0,2,8,0.38,7,0,1,0,0,0,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14.8,50,3.38,42,0,2,4,1,1,4,0.27,4,0,0,0,0,0,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,20.4,71,3.48,59,2,3,3,2,2,4,0.20,4,0,0,0,0,0,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,27.8,81,2.91,77,0,2,1,1,0,14,0.50,13,0,1,0,0,0,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,32.3,119,3.69,110,0,3,3,1,2,14,0.43,12,0,0,2,0,0,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,18.3,50,2.73,46,1,0,3,0,0,7,0.38,6,0,0,1,0,0,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,0.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,13.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,3.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,11.1,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,29.9,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,17.8,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,0.8,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,29.3,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,24.5,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,26.0,18,0.69,16,0,0,2,0,0,4,0.15,4,0,0,0,0,0,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,31.9,32,1.00,26,0,0,5,0,1,3,0.09,1,0,0,2,0,0,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2.0,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,1. Premier League,4th,19.0,13,0.68,11,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Antonio Rüdiger,DF
2020-2021,27,Chelsea,eng ENG,1. Premier League,4th,19.0,18,0.95,18,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Antonio Rüdiger,DF
2021-2022,28,Chelsea,eng ENG,1. Premier League,3rd,33.7,45,1.33,38,0,0,4,2,1,9,0.27,6,0,0,1,2,0,Antonio Rüdiger,DF
2022-2023,29,Real Madrid,es ESP,1. La Liga,2nd,26.8,18,0.67,16,0,0,1,1,0,1,0.04,0,0,0,1,0,0,Antonio Rüdiger,DF
2023-2024,30,Real Madrid,es ESP,1. La Liga,1st,30.1,21,0.70,16,0,0,5,0,0,5,0.17,4,0,0,1,0,0,Antonio Rüdiger,DF
2024-2025,31,Real Madrid,es ESP,1. La Liga,1st,18.1,16,0.88,11,0,0,3,2,0,2,0.11,1,0,0,0,1,0,Antonio Rüdiger,DF
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,3.3,,,,,,,,,,,,,,,,,Kylian Mbappé,FW
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,16.6,,,,,,,,,,,,,,,,,Kylian Mbappé,FW
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,0.8,3,3.65,2,0,0,0,1,0,1,1.22,1,0,0,0,0,0,Kylian Mbappé,FW
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,23.3,107,4.60,68,0,22,3,14,0,15,0.64,9,0,4,1,1,0,Kylian Mbappé,FW
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,26.0,121,4.65,80,1,17,8,15,0,23,0.88,15,0,2,2,4,0,Kylian Mbappé,FW
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,16.8,94,5.59,59,2,19,7,7,0,12,0.71,9,0,2,0,1,0,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,26.4,108,4.08,69,1,19,8,11,0,27,1.02,13,0,7,2,5,0,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,33.6,181,5.39,115,10,30,13,12,1,40,1.19,21,4,10,1,4,0,Kylian Mbappé,FW
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,31.3,143,4.57,96,3,19,15,10,0,23,0.73,12,0,4,5,2,0,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,24.0,97,4.04,68,0,20,3,6,0,19,0.79,11,0,4,1,3,0,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,16.2,53,3.27,32,0,12,6,3,0,5,0.31,3,0,1,1,0,0,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1.0,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
