Season,Age,Squad,Country,Comp,LgRank,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,7.6,1,0,0,,,,,,,,,0,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,13.7,0,0,0,14,3,1,13,21,16,0,1,0,81,15,14,51.7,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,4,0,0,15,2,0,4,21,8,0,0,0,52,9,6,60.0,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,1,0,0,25,10,0,16,21,19,0,0,0,113,25,18,58.1,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14.8,0,0,0,12,9,2,20,22,16,0,0,0,80,10,8,55.6,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,20.4,2,0,0,17,9,6,20,24,16,0,0,0,127,15,8,65.2,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,27.8,2,0,0,11,15,5,27,17,20,0,0,0,132,31,11,73.8,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,32.3,2,0,0,19,15,0,30,43,34,0,0,0,160,21,10,67.7,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,18.3,3,0,0,6,8,1,15,39,17,0,0,0,97,15,10,60.0,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,0.9,0,0,,1,,,,,,,,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,13.9,4,1,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,3.9,2,1,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,11.1,4,1,,19,,,,,,,,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,29.9,2,1,,38,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,17.8,2,0,,24,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,0.8,0,0,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,29.3,4,0,,37,,,,,,,,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,24.5,7,1,0,45,25,2,54,29,39,0,0,0,,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,26.0,4,0,0,26,14,2,10,24,21,0,0,0,175,58,38,60.4,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,31.9,7,0,0,28,15,1,1,32,16,0,0,0,206,81,71,53.3,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2.0,0,0,0,,,,,,,,,0,,,,,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,1. Premier League,4th,19.0,3,0,0,19,8,0,7,16,18,0,0,1,141,57,37,60.6,Antonio Rüdiger,DF
2020-2021,27,Chelsea,eng ENG,1. Premier League,4th,19.0,0,0,0,16,11,1,3,18,23,0,0,1,119,42,20,67.7,Antonio Rüdiger,DF
2021-2022,28,Chelsea,eng ENG,1. Premier League,3rd,33.7,9,0,0,35,12,0,15,28,28,2,0,0,183,56,20,73.7,Antonio Rüdiger,DF
2022-2023,29,Real Madrid,es ESP,1. La Liga,2nd,26.8,1,0,0,13,7,2,5,19,16,0,0,0,158,37,22,62.7,Antonio Rüdiger,DF
2023-2024,30,Real Madrid,es ESP,1. La Liga,1st,30.1,7,0,0,26,5,1,4,11,15,0,0,0,124,49,23,68.1,Antonio Rüdiger,DF
2024-2025,31,Real Madrid,es ESP,1. La Liga,1st,18.1,2,0,0,10,13,1,3,8,8,2,0,0,71,25,15,62.5,Antonio Rüdiger,DF
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,3.3,1,0,,5,,,,,,,,,,,,,Kylian Mbappé,FW
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,16.6,2,0,0,8,22,24,28,3,7,3,0,0,,,,,Kylian Mbappé,FW
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,0.8,0,0,0,0,1,2,2,1,1,0,0,0,4,0,0,,Kylian Mbappé,FW
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,23.3,2,0,0,10,37,23,40,0,8,1,0,0,64,6,12,33.3,Kylian Mbappé,FW
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,26.0,5,1,0,19,44,30,25,5,4,4,0,0,44,1,7,12.5,Kylian Mbappé,FW
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,16.8,0,0,0,11,22,18,48,3,2,1,0,0,33,4,4,50.0,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,26.4,5,0,0,23,38,17,53,3,2,4,0,0,59,5,14,26.3,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,33.6,10,0,0,28,53,39,68,5,8,4,0,0,63,4,10,28.6,Kylian Mbappé,FW
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,31.3,6,0,0,19,40,33,47,5,4,1,0,0,54,8,5,61.5,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,24.0,4,0,0,19,38,20,23,2,1,2,0,0,47,0,2,0.0,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,16.2,2,0,0,12,17,29,17,0,2,1,0,0,22,1,2,33.3,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1.0,0,0,,,,,,,,,,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40.0,0,0,,,,,,,,,,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,36.2,1,1,,0,,,,,,,,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,2,0,,0,,,,,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,3,0,,0,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,1,0,,0,,,,,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,1,2,,0,,,,,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,1,0,0,0,2,0,0,0,0,0,1,0,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,2,0,0,2,3,0,0,0,0,0,2,0,37,2,1,66.7,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,2,0,0,0,5,0,0,2,0,0,0,0,22,7,0,100.0,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,1,0,0,0,4,0,0,2,0,0,0,0,48,5,0,100.0,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,0,0,0,1,3,0,0,1,0,0,1,0,50,10,0,100.0,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,1,0,0,1,1,0,0,0,0,0,1,0,44,8,1,88.9,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,0,0,0,0,3,0,0,3,0,0,0,0,59,9,0,100.0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,100.0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,0,0,0,0,0,0,0,1,0,0,0,1,27,6,0,100.0,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,3,0,0,19,8,1,1,21,12,0,0,0,39,11,17,39.3,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,3,0,0,23,25,0,1,13,14,0,0,0,88,18,10,64.3,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,3,0,0,4,0,0,0,0,0,0,0,0,3,1,0,100.0,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,9,1,1,57,62,1,29,60,68,0,0,0,257,81,41,66.4,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,11,1,1,51,59,2,17,101,45,0,1,0,262,77,31,71.3,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,2,0,0,35,35,0,12,49,40,0,0,0,123,48,24,66.7,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,7,0,0,20,22,0,22,28,23,0,0,0,99,51,24,68.0,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,1,0,0,13,11,0,3,24,12,0,0,0,67,28,11,71.8,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,7,0,0,47,57,3,85,30,57,0,0,0,181,43,69,38.4,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,6,1,1,40,52,1,20,24,31,0,1,0,117,26,26,50.0,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,9,0,0,39,91,5,14,42,34,0,0,0,178,28,42,40.0,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,8,0,0,41,73,3,33,35,42,2,0,0,198,34,33,50.7,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,5,1,0,32,72,4,21,21,34,0,0,0,118,24,25,49.0,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,2,0,0,13,32,3,9,16,16,0,0,0,48,10,15,40.0,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,0,0,0,13,21,8,21,7,6,1,0,0,31,1,2,33.3,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,4,0,0,19,26,9,30,3,16,1,0,0,66,4,4,50.0,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,3,0,0,26,54,8,39,7,22,1,1,0,91,4,11,26.7,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,6,0,0,34,74,26,44,6,24,4,0,0,105,3,8,27.3,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,10,1,0,47,122,23,64,6,21,1,0,0,98,2,6,25.0,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,7,0,0,24,54,10,56,1,13,0,0,0,44,1,7,12.5,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,5,1,0,21,44,4,30,0,8,2,0,0,36,1,4,20.0,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,0,0,0,8,19,5,38,10,1,0,0,0,41,9,21,30.0,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,0,0,0,15,23,1,24,7,6,0,0,0,40,5,14,26.3,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,4,0,0,20,29,13,41,11,14,3,0,0,72,14,25,35.9,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,4,0,0,18,49,10,22,8,10,2,0,0,63,14,23,37.8,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,2,0,0,10,46,13,32,8,15,1,0,0,61,5,21,19.2,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,11.6,0,0,0,4,17,0,41,3,7,0,0,0,31,5,8,38.5,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,9.1,3,0,,,,,,,,,,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,39.5,10,0,,,,,,,,,,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,30.5,6,0,,56,,,,,,,,,,,,,Lucas Vázquez,DF
2015-2016,24,Real Madrid,es ESP,1. La Liga,2nd,13.8,4,0,0,16,35,0,63,25,45,2,0,0,,,,,Lucas Vázquez,DF
2016-2017,25,Real Madrid,es ESP,1. La Liga,1st,15.6,4,0,0,28,48,6,80,10,30,1,0,0,,,,,Lucas Vázquez,DF
2017-2018,26,Real Madrid,es ESP,1. La Liga,3rd,18.7,3,0,0,33,42,12,91,7,33,2,0,0,86,5,16,23.8,Lucas Vázquez,DF
2018-2019,27,Real Madrid,es ESP,1. La Liga,3rd,16.8,6,1,1,41,38,2,63,12,26,0,0,0,82,7,22,24.1,Lucas Vázquez,DF
2019-2020,28,Real Madrid,es ESP,1. La Liga,1st,9.4,1,0,0,26,12,2,47,10,17,1,0,0,70,3,8,27.3,Lucas Vázquez,DF
2020-2021,29,Real Madrid,es ESP,1. La Liga,2nd,20.5,3,0,0,30,31,3,96,19,37,0,1,0,120,10,9,52.6,Lucas Vázquez,DF
2021-2022,30,Real Madrid,es ESP,1. La Liga,1st,20.4,3,0,0,26,34,5,75,20,22,0,0,0,103,2,9,18.2,Lucas Vázquez,DF
2022-2023,31,Real Madrid,es ESP,1. La Liga,2nd,12.7,2,0,0,23,16,3,41,7,23,1,0,0,63,1,5,16.7,Lucas Vázquez,DF
2023-2024,32,Real Madrid,es ESP,1. La Liga,1st,15.8,0,0,0,22,25,5,47,12,25,1,0,0,78,4,6,40.0,Lucas Vázquez,DF
2024-2025,33,Real Madrid,es ESP,1. La Liga,1st,10.8,3,0,0,12,12,0,30,6,17,0,0,0,37,2,7,22.2,Lucas Vázquez,DF
2018-2019,20,Porto,pt POR,1. Primeira Liga,2nd,28.9,0,0,0,46,34,1,22,65,43,1,0,0,158,119,36,76.8,Éder Militão,DF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,11.4,3,0,0,18,15,2,2,20,15,0,0,0,51,36,10,78.3,Éder Militão,DF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,12.6,3,1,0,15,12,0,2,19,8,0,1,0,70,31,13,70.5,Éder Militão,DF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,33.7,5,0,0,38,39,1,11,52,32,1,0,0,204,83,38,68.6,Éder Militão,DF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,30.0,4,0,0,35,38,1,12,42,32,1,1,0,159,64,34,65.3,Éder Militão,DF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,5.5,0,0,0,5,5,2,1,4,3,0,0,0,19,11,13,45.8,Éder Militão,DF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,10.4,2,0,0,18,8,0,2,12,17,0,0,0,44,21,12,63.6,Éder Militão,DF
2014-2015,19,Le Havre,fr FRA,2. Ligue 2,7th,1.0,0,0,,,,,,,,,,,,,,,Ferland Mendy,DF
2015-2016,20,Le Havre,fr FRA,2. Ligue 2,4th,7.9,2,0,,18,,,,,,,,,,,,,Ferland Mendy,DF
2016-2017,21,Le Havre,fr FRA,2. Ligue 2,8th,34.5,8,0,0,42,0,0,0,0,0,0,0,0,,,,,Ferland Mendy,DF
2017-2018,22,Lyon,fr FRA,1. Ligue 1,3rd,23.6,4,0,0,30,46,0,58,25,28,1,3,0,149,37,25,59.7,Ferland Mendy,DF
2018-2019,23,Lyon,fr FRA,1. Ligue 1,3rd,28.1,2,0,0,28,44,0,80,34,28,0,1,0,195,46,36,56.1,Ferland Mendy,DF
2019-2020,24,Real Madrid,es ESP,1. La Liga,1st,20.1,8,1,1,25,29,1,66,22,26,1,0,0,97,26,19,57.8,Ferland Mendy,DF
2020-2021,25,Real Madrid,es ESP,1. La Liga,2nd,24.5,3,0,0,22,39,5,35,26,16,0,0,0,119,10,14,41.7,Ferland Mendy,DF
2021-2022,26,Real Madrid,es ESP,1. La Liga,1st,19.3,4,0,0,15,24,3,28,18,14,1,1,0,98,11,13,45.8,Ferland Mendy,DF
2022-2023,27,Real Madrid,es ESP,1. La Liga,2nd,15.0,2,0,0,4,18,0,7,14,12,0,0,0,77,7,8,46.7,Ferland Mendy,DF
2023-2024,28,Real Madrid,es ESP,1. La Liga,1st,19.1,5,0,0,17,15,0,5,13,10,0,0,0,97,6,5,54.5,Ferland Mendy,DF
2024-2025,29,Real Madrid,es ESP,1. La Liga,1st,9.2,1,1,0,5,5,0,1,9,13,0,0,0,30,3,2,60.0,Ferland Mendy,DF
2020-2021,20,Rayo Vallecano,es ESP,2. La Liga 2,6th,36.5,3,0,0,32,32,4,161,43,31,1,2,1,203,35,44,44.3,Fran Garcia,DF
2021-2022,21,Rayo Vallecano,es ESP,1. La Liga,12th,33.6,4,0,0,24,15,2,128,45,35,0,0,0,210,25,37,40.3,Fran Garcia,DF
2022-2023,22,Rayo Vallecano,es ESP,1. La Liga,11th,37.9,1,0,0,22,26,3,156,44,54,0,2,0,229,7,20,25.9,Fran Garcia,DF
