Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,7.6,,,,,,,,,,,,,,,0,,,,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,13.7,447,593,75.4,7941,2267,237,282,84.0,145,192,75.5,55,77,71.4,0,0.9,1.0,-0.9,11,56,10,2,66,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,323,378,85.4,5143,1632,185,203,91.1,97,113,85.8,30,40,75.0,0,0.3,0.5,-0.3,9,38,7,1,58,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,961,1104,87.0,14698,3788,571,619,92.2,283,323,87.6,74,98,75.5,5,3.3,2.3,+1.7,20,104,19,2,112,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14.8,673,777,86.6,10927,2743,347,375,92.5,211,244,86.5,70,87,80.5,1,3.1,2.9,-2.1,22,69,11,2,96,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,20.4,1039,1183,87.8,15572,3864,587,631,93.0,328,360,91.1,73,104,70.2,1,1.7,1.7,-0.7,24,119,19,0,129,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,27.8,1427,1641,87.0,21092,4276,855,915,93.4,424,489,86.7,99,136,72.8,4,6.3,5.1,-2.3,43,118,45,6,151,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,32.3,1901,2117,89.8,29049,7780,1109,1169,94.9,612,675,90.7,126,185,68.1,7,5.8,3.4,+1.2,49,229,41,4,231,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,18.3,1074,1207,89.0,19136,5466,486,523,92.9,446,475,93.9,111,148,75.0,2,1.7,1.5,+0.3,23,109,15,0,113,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,0.9,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,13.9,,,,,,,,,,,,,,,1,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,3.9,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,11.1,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,29.9,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,17.8,,,,,,,,,,,,,,,1,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,0.8,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,29.3,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,24.5,,,,,,,,,,,,,,,1,,,,,,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,26.0,1540,1735,88.8,28423,9100,618,649,95.2,734,801,91.6,151,226,66.8,1,0.4,0.7,+0.6,3,114,2,0,121,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,31.9,2332,2557,91.2,42684,15388,883,931,94.8,1166,1243,93.8,224,300,74.7,0,0.6,0.7,-0.6,7,137,9,0,174,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2.0,,,,,,,,,,,,,,,0,,,,,,,,,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,1. Premier League,4th,19.0,1301,1511,86.1,26935,8793,353,387,91.2,776,834,93.0,159,255,62.4,0,0.6,0.5,-0.6,5,112,6,1,99,Antonio Rüdiger,DF
2020-2021,27,Chelsea,eng ENG,1. Premier League,4th,19.0,1365,1534,89.0,24963,7656,515,546,94.3,735,774,95.0,101,179,56.4,0,0.4,0.4,-0.4,3,98,4,1,71,Antonio Rüdiger,DF
2021-2022,28,Chelsea,eng ENG,1. Premier League,3rd,33.7,2217,2534,87.5,41765,13323,865,926,93.4,1079,1167,92.5,247,369,66.9,0,0.7,1.5,-0.7,12,219,24,3,188,Antonio Rüdiger,DF
2022-2023,29,Real Madrid,es ESP,1. La Liga,2nd,26.8,1486,1617,91.9,26566,8924,595,621,95.8,768,807,95.2,109,153,71.2,0,0.1,0.9,-0.1,2,75,6,0,59,Antonio Rüdiger,DF
2023-2024,30,Real Madrid,es ESP,1. La Liga,1st,30.1,1630,1815,89.8,30058,11111,625,654,95.6,860,908,94.7,130,219,59.4,0,1.2,1.0,-1.2,5,90,11,2,88,Antonio Rüdiger,DF
2024-2025,31,Real Madrid,es ESP,1. La Liga,1st,18.1,1229,1336,92.0,23397,7443,456,471,96.8,629,665,94.6,130,177,73.4,0,0.1,0.3,-0.1,3,76,4,1,62,Antonio Rüdiger,DF
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,3.3,,,,,,,,,,,,,,,1,,,,,,,,,Kylian Mbappé,FW
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,16.6,,,,,,,,,,,,,,,7,,,,,,,,,Kylian Mbappé,FW
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,0.8,19,29,65.5,252,44,10,14,71.4,5,8,62.5,1,3,33.3,0,0.0,0.0,0.0,0,2,0,0,3,Kylian Mbappé,FW
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,23.3,577,722,79.9,7076,1597,353,399,88.5,132,178,74.2,24,37,64.9,8,8.1,7.2,-0.1,51,35,32,6,60,Kylian Mbappé,FW
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,26.0,632,814,77.6,8039,1997,383,452,84.7,139,187,74.3,33,47,70.2,7,5.4,5.4,+1.6,47,40,50,6,97,Kylian Mbappé,FW
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,16.8,501,661,75.8,6435,1454,325,390,83.3,120,165,72.7,22,34,64.7,5,9.5,8.8,-4.5,39,25,29,5,59,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,26.4,789,1024,77.1,9441,1655,557,655,85.0,159,195,81.5,20,49,40.8,7,4.8,5.4,+2.2,33,51,33,4,80,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,33.6,1139,1435,79.4,15413,2996,715,821,87.1,276,348,79.3,60,101,59.4,17,12.6,9.1,+4.4,70,75,58,9,107,Kylian Mbappé,FW
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,31.3,1096,1355,80.9,14622,3137,677,789,85.8,299,371,80.6,42,65,64.6,5,7.4,9.4,-2.4,55,81,76,10,128,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,24.0,801,965,83.0,12061,2391,472,536,88.1,235,288,81.6,55,67,82.1,7,5.7,5.2,+1.3,40,73,44,1,122,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,16.2,425,512,83.0,6234,1114,247,281,87.9,124,141,87.9,26,33,78.8,2,2.4,2.1,-0.4,21,43,24,2,70,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,36.2,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,,,,,,,,,,,,,,,0,,,,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,903,1202,75.1,25829,17424,105,106,99.1,514,519,99.0,279,564,49.5,0,0.0,0.0,0.0,0,14,0,0,0,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,651,841,77.4,17880,11719,77,77,100.0,390,393,99.2,184,368,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,861,1086,79.3,21460,13247,141,141,100.0,535,539,99.3,181,397,45.6,0,0.0,0.0,0.0,0,3,1,0,0,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,1087,1323,82.2,27107,16751,175,175,100.0,665,675,98.5,245,468,52.4,0,0.0,0.0,0.0,0,12,1,0,0,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,936,1137,82.3,21923,14425,208,210,99.0,531,537,98.9,192,383,50.1,0,0.0,0.0,0.0,0,5,0,0,1,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,980,1136,86.3,23008,14737,219,220,99.5,560,567,98.8,196,341,57.5,0,0.4,0.0,-0.4,2,6,1,0,0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,113,123,91.9,2675,1889,25,25,100.0,63,63,100.0,24,34,70.6,0,0.1,0.0,-0.1,1,1,0,0,0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,512,597,85.8,11724,7181,95,96,99.0,324,326,99.4,93,174,53.4,0,0.0,0.0,0.0,0,3,0,0,0,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,224,281,79.7,3613,1233,119,136,87.5,73,83,88.0,21,38,55.3,0,0.1,0.1,-0.1,3,18,2,0,25,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,589,696,84.6,10017,3471,260,298,87.2,281,313,89.8,39,53,73.6,1,0.3,0.2,+0.7,6,51,1,0,88,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,21,24,87.5,337,74,12,14,85.7,7,7,100.0,1,1,100.0,0,0.3,0.0,-0.3,2,0,0,0,0,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,1516,1860,81.5,26308,7281,725,833,87.0,620,720,86.1,136,214,63.6,4,1.9,3.5,+2.1,17,174,20,1,197,Aurélien Tchouaméni,"MF,DF"
