Season,Age,Squad,Country,Comp,LgRank,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,12,686,57,25.4,7.6,8,76,4,4,20,2,2.08,16,8,+8,+1.05,+0.60,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,24,1233,51,36.1,13.7,12,75,6,12,28,4,0.88,14,27,-13,-0.95,+0.08,18.0,21.7,-3.8,-0.28,-0.14,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,16,656,41,19.2,7.3,6,80,2,10,18,9,2.25,13,6,+7,+0.96,+0.63,13.0,5.3,+7.7,+1.05,+0.66,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,33,1907,58,55.8,21.2,21,83,10,12,14,2,2.30,42,12,+30,+1.42,+0.52,39.6,19.2,+20.4,+0.96,+0.12,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,24,1330,55,38.9,14.8,15,77,6,9,20,0,2.25,28,14,+14,+0.95,-0.13,26.1,14.1,+12.0,+0.81,+0.30,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,31,1833,59,53.6,20.4,19,83,11,12,21,2,2.26,44,19,+25,+1.23,-0.13,38.0,24.0,+14.0,+0.69,-0.09,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,34,2502,74,73.2,27.8,29,82,17,5,26,4,2.09,51,25,+26,+0.94,-0.34,52.7,26.7,+26.0,+0.93,-0.10,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,37,2904,78,84.9,32.3,33,86,22,4,19,1,2.49,76,22,+54,+1.67,+0.45,60.1,30.3,+29.8,+0.92,+0.30,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,19,1650,87,96.5,18.3,19,87,16,0,,0,2.26,42,17,+25,+1.36,+2.86,35.0,17.5,+17.5,+0.95,+2.55,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,1,78,78,2.5,0.9,1,,0,0,,,,,,,,,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,17,1253,74,36.6,13.9,15,,,2,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,4,351,88,10.3,3.9,4,,,0,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,16,1000,63,32.7,11.1,11,,9,5,,,,,,,,,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,30,2694,90,88.0,29.9,30,,29,0,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,19,1604,84,52.4,17.8,18,,17,1,,0,1.26,22,34,-12,-0.67,-0.30,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,1,76,76,2.2,0.8,1,,0,0,,0,3.00,1,0,+1,+1.18,+1.45,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,30,2635,88,77.0,29.3,29,,29,1,,2,2.13,64,29,+35,+1.20,+0.39,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,26,2205,85,64.5,24.5,25,,22,1,,0,2.27,53,24,+29,+1.18,-0.52,,,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,27,2338,87,68.4,26.0,25,,25,2,,9,2.04,46,22,+24,+0.92,+0.92,37.8,19.5,+18.3,+0.70,+0.51,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,33,2871,87,83.9,31.9,33,87,30,0,,2,1.85,50,35,+15,+0.47,-1.01,46.4,31.7,+14.7,+0.46,-0.77,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2,180,90,11.1,2.0,2,90,2,0,,0,2.00,5,2,+3,+1.50,+0.81,,,,,,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,1. Premier League,4th,20,1710,86,50.0,19.0,19,88,18,1,45,3,1.65,33,24,+9,+0.47,+0.16,33.8,16.0,+17.8,+0.94,+0.27,Antonio Rüdiger,DF
2020-2021,27,Chelsea,eng ENG,1. Premier League,4th,19,1710,90,50.0,19.0,19,90,19,0,,13,2.05,23,10,+13,+0.68,+0.21,30.4,12.2,+18.1,+0.96,+0.22,Antonio Rüdiger,DF
2021-2022,28,Chelsea,eng ENG,1. Premier League,3rd,34,3035,89,88.7,33.7,34,89,33,0,,1,1.91,68,27,+41,+1.22,+0.75,57.1,28.1,+29.0,+0.86,+0.60,Antonio Rüdiger,DF
2022-2023,29,Real Madrid,es ESP,1. La Liga,2nd,33,2415,73,70.6,26.8,26,90,25,7,12,2,2.00,44,25,+19,+0.71,-1.08,51.1,27.2,+23.8,+0.89,-0.25,Antonio Rüdiger,DF
2023-2024,30,Real Madrid,es ESP,1. La Liga,1st,33,2709,82,79.2,30.1,30,88,28,3,25,1,2.55,65,23,+42,+1.40,-1.01,54.3,28.0,+26.3,+0.87,-0.03,Antonio Rüdiger,DF
2024-2025,31,Real Madrid,es ESP,1. La Liga,1st,19,1627,86,95.1,18.1,18,90,18,1,7,0,2.26,40,18,+22,+1.22,-0.95,31.7,18.5,+13.2,+0.73,-2.77,Antonio Rüdiger,DF
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,11,296,27,8.7,3.3,2,,0,9,,2,1.55,8,5,+3,+0.91,+0.80,,,,,,Kylian Mbappé,FW
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,29,1498,52,43.8,16.6,17,,5,12,,6,2.55,53,15,+38,+2.28,+0.50,,,,,,Kylian Mbappé,FW
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,1,74,74,2.2,0.8,1,74,0,0,,2,3.00,3,2,+1,+1.22,+0.17,1.6,0.2,+1.4,+1.76,+1.42,Kylian Mbappé,FW
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,27,2094,78,61.2,23.3,24,85,19,3,17,2,2.30,60,20,+40,+1.72,-0.93,51.9,23.6,+28.3,+1.22,-0.38,Kylian Mbappé,FW
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,29,2343,81,68.5,26.0,24,90,22,5,39,0,2.48,81,21,+60,+2.30,+1.47,67.2,23.5,+43.7,+1.68,+1.04,Kylian Mbappé,FW
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,20,1513,76,62.3,16.8,17,85,12,3,21,0,2.60,54,16,+38,+2.26,+0.98,52.1,15.4,+36.7,+2.18,+0.77,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,31,2380,77,69.6,26.4,27,86,16,4,18,0,2.23,68,20,+48,+1.82,+0.95,62.7,26.6,+36.1,+1.36,+1.07,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,35,3023,86,88.4,33.6,34,88,24,1,21,0,2.34,85,30,+55,+1.64,+1.86,69.9,33.7,+36.2,+1.08,+0.91,Kylian Mbappé,FW
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,34,2818,83,82.4,31.3,32,86,26,2,34,0,2.24,73,33,+40,+1.28,-0.07,65.2,42.1,+23.0,+0.74,-0.29,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,29,2158,74,70.5,24.0,24,83,19,5,31,2,2.17,61,25,+36,+1.50,+0.30,50.2,30.2,+20.0,+0.84,-0.04,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,17,1459,86,85.3,16.2,17,86,9,0,,0,2.41,35,13,+22,+1.36,+0.64,32.5,14.2,+18.3,+1.13,+1.82,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1,90,90,2.9,1.0,1,,,0,,,,,,,,,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40,3600,90,100.0,40.0,40,,,0,,,,,,,,,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,37,3261,88,95.4,36.2,37,,36,0,,,,,,,,,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37,3330,90,97.4,37.0,37,,37,0,,,,,,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37,3330,90,97.4,37.0,37,,37,0,,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,32,2813,88,82.3,31.3,32,,31,0,,5,2.16,55,30,+25,+0.80,-1.57,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,23,2020,88,59.1,22.4,23,,21,0,,1,1.48,41,29,+12,+0.53,+0.92,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36,3240,90,94.7,36.0,36,,36,0,,0,2.50,81,28,+53,+1.47,+1.97,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35,3150,90,92.1,35.0,35,,35,0,,0,1.89,56,34,+22,+0.63,-0.04,50.1,30.9,+19.3,+0.55,+0.12,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27,2430,90,71.1,27.0,27,90,27,0,,5,1.67,43,36,+7,+0.26,-0.65,46.2,38.0,+8.2,+0.31,-0.73,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34,3060,90,89.5,34.0,34,90,34,0,,2,2.26,60,20,+40,+1.18,-0.07,61.1,28.8,+32.3,+0.95,+0.38,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38,3420,90,100.0,38.0,38,90,38,0,,0,2.21,67,28,+39,+1.03,,61.5,37.6,+23.9,+0.63,,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36,3240,90,94.7,36.0,36,90,36,0,,1,2.36,79,29,+50,+1.39,+1.89,69.0,38.9,+30.1,+0.84,+2.01,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31,2790,90,81.6,31.0,31,90,31,0,,1,2.10,61,29,+32,+1.03,+0.03,61.5,32.3,+29.2,+0.94,-0.11,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,4,332,83,9.7,3.7,4,83,3,0,,1,2.50,12,0,+12,+3.25,+1.82,7.1,3.6,+3.5,+0.95,+0.08,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16,1440,90,84.2,16.0,16,90,16,0,,0,2.31,37,15,+22,+1.37,+0.71,30.2,15.1,+15.1,+0.94,+0.52,Thibaut Courtois,GK
2017-2018,17,Bordeaux,fr FRA,1. Ligue 1,6th,0,,,,,0,,0,0,,2,,,,,,,,,,,,Aurélien Tchouaméni,"MF,DF"
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,10,704,70,20.6,7.8,8,81,4,2,30,7,1.20,6,6,0,0.00,+0.27,8.3,9.4,-1.0,-0.13,+0.29,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,15,1110,74,44.0,12.3,13,83,8,2,17,5,1.60,21,13,+8,+0.65,+0.78,11.1,17.1,-6.0,-0.49,-0.45,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,3,65,22,2.6,0.7,0,,0,3,21,3,1.33,0,1,-1,-1.38,-1.42,1.3,1.4,-0.1,-0.08,-0.30,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,36,3063,85,89.6,34.0,36,85,26,0,,0,2.08,67,39,+28,+0.82,-0.69,60.3,31.5,+28.8,+0.85,-0.48,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,35,2929,84,85.6,32.5,33,87,29,2,29,0,1.89,58,33,+25,+0.77,+0.77,51.6,33.7,+18.0,+0.55,+0.37,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,33,2119,64,62.0,23.5,24,80,14,9,21,1,2.03,51,27,+24,+1.02,-0.02,46.3,25.3,+21.0,+0.89,-0.19,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,27,1987,74,58.1,22.1,22,86,18,5,20,1,2.67,48,13,+35,+1.59,-0.05,40.0,18.8,+21.2,+0.96,+0.20,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,15,1274,85,74.5,14.2,15,85,12,0,,0,2.07,31,16,+15,+1.06,-0.80,22.7,14.4,+8.3,+0.59,-1.07,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,41,2694,66,65.1,29.9,32,77,9,9,24,1,1.02,36,45,-9,-0.30,+0.45,41.0,39.9,+1.0,+0.03,+0.36,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,29,1697,59,55.5,18.9,19,76,5,10,26,2,1.79,43,29,+14,+0.74,-0.25,37.8,20.9,+16.8,+0.89,+0.38,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,32,2790,87,91.2,31.0,32,87,27,0,,0,2.06,76,46,+30,+0.97,-0.03,58.5,41.4,+17.1,+0.55,+0.32,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,31,2691,87,87.9,29.9,30,89,28,1,25,1,2.06,73,40,+33,+1.10,-0.36,60.1,39.0,+21.0,+0.70,-0.98,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,28,2315,83,67.7,25.7,27,85,17,1,25,4,2.46,57,16,+41,+1.59,-0.04,46.7,23.4,+23.3,+0.91,+0.09,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,15,1230,82,71.9,13.7,15,82,7,0,,0,2.20,33,17,+16,+1.17,-0.33,22.2,14.9,+7.3,+0.54,-1.16,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,18,869,48,25.4,9.7,9,83,5,9,14,5,1.61,15,13,+2,+0.21,-0.32,16.2,13.2,+3.0,+0.31,-0.27,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,29,1364,47,39.9,15.2,12,81,5,17,23,5,2.21,27,15,+12,+0.79,-0.65,26.4,15.3,+11.2,+0.74,-0.29,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,35,1969,56,57.6,21.9,22,75,7,13,24,2,2.20,35,17,+18,+0.82,-0.48,35.8,23.4,+12.4,+0.57,-0.15,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,35,2690,77,78.7,29.9,30,86,15,5,21,0,2.34,65,22,+43,+1.44,+0.70,54.9,31.0,+23.9,+0.80,+0.32,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,33,2823,86,82.5,31.4,32,87,21,1,30,0,2.00,58,32,+26,+0.83,-1.13,58.9,32.2,+26.8,+0.85,-0.63,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,26,1864,72,54.5,20.7,22,80,7,4,26,3,2.62,48,12,+36,+1.74,+0.29,39.3,19.3,+20.0,+0.96,+0.19,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,15,1175,78,68.7,13.1,13,85,5,2,32,0,2.27,26,11,+15,+1.15,-0.37,23.8,11.8,+11.9,+0.91,+0.16,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,19,1019,54,29.8,11.3,12,72,1,7,23,9,2.42,21,2,+19,+1.68,+0.70,22.9,7.4,+15.5,+1.37,+0.65,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,22,983,45,28.7,10.9,10,65,1,12,28,7,2.27,22,4,+18,+1.65,+0.87,20.2,9.0,+11.2,+1.03,+0.56,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,33,1523,46,44.5,16.9,17,68,2,16,23,1,2.21,38,13,+25,+1.48,+0.34,31.9,22.5,+9.4,+0.56,-0.32,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,34,2379,70,69.6,26.4,25,86,15,9,24,0,2.00,54,27,+27,+1.02,-0.02,56.8,26.6,+30.2,+1.14,+0.59,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,34,2380,70,69.6,26.4,28,81,10,6,21,3,2.44,53,20,+33,+1.25,-1.18,45.6,24.0,+21.6,+0.82,-0.20,Rodrygo,FW
2024-2025,23,Real Madrid,es ESP,1. La Liga,1st,16,1044,65,61.1,11.6,12,74,2,4,40,0,2.31,26,9,+17,+1.47,+0.52,21.2,11.8,+9.4,+0.81,-0.14,Rodrygo,FW
2012-2013,21,Real Madrid B,es ESP,2. La Liga 2,8th,26,816,31,21.6,9.1,6,,,20,,,,,,,,,,,,,,Lucas Vázquez,DF
2013-2014,22,Real Madrid B,es ESP,2. La Liga 2,20th,40,3557,89,94.1,39.5,40,,,0,,,,,,,,,,,,,,Lucas Vázquez,DF
2014-2015,23,Espanyol,es ESP,1. La Liga,10th,33,2741,83,80.1,30.5,30,,25,3,,0,1.41,40,36,+4,+0.13,+1.19,,,,,,Lucas Vázquez,DF
