Season,Age,Squad,Country,Comp,LgRank,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,7.6,,,,,,,,,,,,,,,,,,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,13.7,718,14,132,436,157,15,718,13,7,53.8,6,46.2,397,1975,985,15,6,1,23,5,483,51,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,455,9,89,275,102,11,455,17,13,76.5,4,23.5,253,1527,916,17,17,5,6,4,305,15,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,1300,27,195,726,395,24,1300,27,19,70.4,8,29.6,807,4603,2469,41,43,10,31,19,968,69,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14.8,904,6,104,472,341,31,904,28,23,82.1,5,17.9,564,3531,1877,41,34,5,19,7,682,54,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,20.4,1376,33,217,713,472,38,1376,50,32,64.0,18,36.0,913,5789,3343,76,81,5,26,9,1037,86,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,27.8,1870,35,229,857,800,54,1870,44,31,70.5,10,22.7,1190,6633,3349,70,68,8,21,7,1485,135,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,32.3,2448,77,384,1382,708,69,2448,44,22,50.0,21,47.7,1610,9227,5027,104,102,15,28,12,1925,102,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,18.3,1386,50,284,796,316,17,1386,15,8,53.3,6,40.0,785,4412,2105,31,36,3,23,1,1028,38,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,0.9,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,13.9,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,3.9,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,11.1,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,29.9,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,17.8,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,0.8,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,29.3,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,24.5,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,26.0,1990,123,842,1061,97,20,1990,10,8,80.0,2,20.0,1298,6974,4393,33,23,2,14,17,1404,7,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,31.9,2815,191,1126,1619,77,25,2815,5,4,80.0,1,20.0,1805,9856,6608,21,25,0,8,9,2112,1,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,2.0,,,,,,,,,,,,,,,,,,,,,,,Antonio Rüdiger,DF
2019-2020,26,Chelsea,eng ENG,1. Premier League,4th,19.0,1667,152,738,872,68,16,1667,4,3,75.0,1,25.0,1145,6329,3816,11,23,0,5,3,1216,0,Antonio Rüdiger,DF
2020-2021,27,Chelsea,eng ENG,1. Premier League,4th,19.0,1690,159,738,871,92,17,1690,6,3,50.0,3,50.0,1074,5196,3005,24,18,1,9,1,1301,6,Antonio Rüdiger,DF
2021-2022,28,Chelsea,eng ENG,1. Premier League,3rd,33.7,2820,211,1014,1521,298,48,2820,12,6,50.0,6,50.0,1782,8886,5212,54,72,3,20,8,2185,21,Antonio Rüdiger,DF
2022-2023,29,Real Madrid,es ESP,1. La Liga,2nd,26.8,1814,194,907,840,79,25,1814,4,3,75.0,1,25.0,1216,5991,3731,21,11,0,8,2,1339,10,Antonio Rüdiger,DF
2023-2024,30,Real Madrid,es ESP,1. La Liga,1st,30.1,2022,275,1000,964,65,25,2022,3,1,33.3,2,66.7,1337,6743,4149,17,10,1,4,2,1525,1,Antonio Rüdiger,DF
2024-2025,31,Real Madrid,es ESP,1. La Liga,1st,18.1,1492,169,746,687,65,16,1492,6,3,50.0,2,33.3,952,4296,2640,13,18,2,4,2,1129,2,Antonio Rüdiger,DF
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,3.3,,,,,,,,,,,,,,,,,,,,,,,Kylian Mbappé,FW
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,16.6,,,,,,,,,,,,,,,,,,,,,,,Kylian Mbappé,FW
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,0.8,39,0,1,17,22,11,39,6,4,66.7,2,33.3,27,182,125,6,3,5,1,1,33,12,Kylian Mbappé,FW
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,23.3,981,1,33,369,599,190,981,136,78,57.4,58,42.6,744,4995,2584,98,66,52,65,59,871,282,Kylian Mbappé,FW
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,26.0,1123,0,22,392,725,212,1121,118,65,55.1,53,44.9,760,5250,2851,114,66,58,60,44,995,311,Kylian Mbappé,FW
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,16.8,910,1,20,312,586,181,910,107,55,51.4,52,48.6,609,4649,2754,115,58,66,47,26,798,260,Kylian Mbappé,FW
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,26.4,1393,5,39,434,941,243,1387,181,90,49.7,91,50.3,952,7200,3939,163,101,85,82,46,1188,345,Kylian Mbappé,FW
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,33.6,1902,17,48,631,1247,299,1898,205,112,54.6,92,44.9,1416,9443,5202,210,122,103,112,57,1623,449,Kylian Mbappé,FW
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,31.3,1771,10,46,594,1149,302,1766,201,74,36.8,109,54.2,1583,9810,4725,165,126,86,63,42,1575,468,Kylian Mbappé,FW
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,24.0,1264,1,31,441,801,207,1256,133,61,45.9,62,46.6,1148,6749,3213,114,69,66,56,35,1130,286,Kylian Mbappé,FW
2024-2025,25,Real Madrid,es ESP,1. La Liga,1st,16.2,727,0,18,220,499,159,723,99,40,40.4,50,50.5,488,3456,1925,82,40,58,47,21,624,199,Kylian Mbappé,FW
2008-2009,16,Genk,be BEL,1. First Division,8th,1.0,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2010-2011,18,Genk,be BEL,1. Pro League,1st,40.0,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2011-2012,19,Atlético Madrid,es ESP,1. La Liga,5th,36.2,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2012-2013,20,Atlético Madrid,es ESP,1. La Liga,3rd,37.0,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2013-2014,21,Atlético Madrid,es ESP,1. La Liga,1st,37.0,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2014-2015,22,Chelsea,eng ENG,1. Premier League,1st,31.3,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2015-2016,23,Chelsea,eng ENG,1. Premier League,10th,22.4,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2016-2017,24,Chelsea,eng ENG,1. Premier League,1st,36.0,,,,,,,,,,,,,,,,,,,,,,,Thibaut Courtois,GK
2017-2018,25,Chelsea,eng ENG,1. Premier League,5th,35.0,1250,1140,1246,4,0,0,1250,0,0,,0,,635,4072,2260,0,0,0,1,0,615,0,Thibaut Courtois,GK
2018-2019,26,Real Madrid,es ESP,1. La Liga,3rd,27.0,897,809,895,1,1,1,897,1,1,100.0,0,0.0,469,2590,1419,0,0,0,0,0,397,0,Thibaut Courtois,GK
2019-2020,27,Real Madrid,es ESP,1. La Liga,1st,34.0,1153,1039,1151,1,1,1,1153,0,0,,0,,608,3379,1776,0,0,0,0,0,569,0,Thibaut Courtois,GK
2020-2021,28,Real Madrid,es ESP,1. La Liga,2nd,38.0,1404,1219,1401,3,0,0,1404,0,0,,0,,804,4413,2274,0,0,0,2,0,743,0,Thibaut Courtois,GK
2021-2022,29,Real Madrid,es ESP,1. La Liga,1st,36.0,1200,1033,1194,6,0,0,1200,0,0,,0,,748,3704,2237,0,0,0,1,0,661,0,Thibaut Courtois,GK
2022-2023,30,Real Madrid,es ESP,1. La Liga,2nd,31.0,1209,1020,1205,5,0,0,1209,2,2,100.0,0,0.0,824,4223,2619,0,0,0,2,0,704,0,Thibaut Courtois,GK
2023-2024,31,Real Madrid,es ESP,1. La Liga,1st,3.7,135,119,135,0,0,0,135,0,0,,0,,87,472,296,0,0,0,0,0,70,0,Thibaut Courtois,GK
2024-2025,32,Real Madrid,es ESP,1. La Liga,1st,16.0,635,548,632,3,0,0,635,1,0,0.0,1,100.0,385,1932,1238,0,0,0,0,0,410,0,Thibaut Courtois,GK
2018-2019,18,Bordeaux,fr FRA,1. Ligue 1,14th,7.8,375,20,98,244,39,6,375,10,6,60.0,4,40.0,189,1013,458,5,5,1,5,9,213,7,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Bordeaux,fr FRA,1. Ligue 1,12th,12.3,822,28,194,562,72,9,822,17,15,88.2,2,11.8,488,2199,1083,9,10,2,8,11,558,6,Aurélien Tchouaméni,"MF,DF"
2019-2020,19,Monaco,fr FRA,1. Ligue 1,9th,0.7,32,2,9,15,8,2,32,1,0,0.0,1,100.0,15,42,18,0,0,0,1,0,17,0,Aurélien Tchouaméni,"MF,DF"
2020-2021,20,Monaco,fr FRA,1. Ligue 1,3rd,34.0,2307,67,454,1500,382,55,2307,35,22,62.9,13,37.1,1220,6457,2768,42,33,4,50,31,1493,52,Aurélien Tchouaméni,"MF,DF"
2021-2022,21,Monaco,fr FRA,1. Ligue 1,3rd,32.5,2486,80,477,1670,372,48,2486,51,38,74.5,13,25.5,1604,8501,3776,47,41,6,19,30,1673,39,Aurélien Tchouaméni,"MF,DF"
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,23.5,1990,94,470,1234,298,29,1990,39,28,71.8,8,20.5,1291,6841,3344,41,43,4,24,12,1533,23,Aurélien Tchouaméni,"MF,DF"
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,22.1,1722,132,539,985,211,20,1722,13,6,46.2,3,23.1,1152,6365,3569,28,41,1,13,12,1296,15,Aurélien Tchouaméni,"MF,DF"
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,14.2,1154,79,349,719,97,11,1154,7,5,71.4,2,28.6,718,3686,2014,13,6,1,11,5,875,6,Aurélien Tchouaméni,"MF,DF"
2019-2020,16,Birmingham City,eng ENG,2. Championship,20th,29.9,1497,44,269,758,490,89,1497,76,46,60.5,30,39.5,797,4880,2388,63,43,17,63,59,897,113,Jude Bellingham,MF
2020-2021,17,Dortmund,de GER,1. Bundesliga,3rd,18.9,1299,20,195,730,384,52,1299,47,28,59.6,19,40.4,736,3119,1352,28,35,6,44,31,981,80,Jude Bellingham,MF
2021-2022,18,Dortmund,de GER,1. Bundesliga,2nd,31.0,1959,48,331,1124,515,84,1959,96,55,57.3,41,42.7,1242,6020,2770,78,44,23,82,62,1499,138,Jude Bellingham,MF
2022-2023,19,Dortmund,de GER,1. Bundesliga,2nd,29.9,2091,48,342,1171,606,105,2090,151,86,57.0,42,27.8,1342,7887,3912,97,50,24,63,58,1568,139,Jude Bellingham,MF
2023-2024,20,Real Madrid,es ESP,1. La Liga,1st,25.7,1897,21,202,978,746,135,1896,97,50,51.5,35,36.1,1235,6812,3434,85,73,26,53,40,1554,177,Jude Bellingham,MF
2024-2025,21,Real Madrid,es ESP,1. La Liga,1st,13.7,912,14,136,476,307,46,910,31,17,54.8,12,38.7,566,2762,1300,37,25,8,25,19,733,67,Jude Bellingham,MF
2018-2019,18,Real Madrid,es ESP,1. La Liga,3rd,9.7,464,1,33,117,324,82,464,70,41,58.6,29,41.4,379,3227,1876,76,28,48,27,24,383,141,Vinicius Júnior,FW
2019-2020,19,Real Madrid,es ESP,1. La Liga,1st,15.2,764,1,63,246,470,144,764,102,48,47.1,54,52.9,572,4712,2827,110,54,69,38,13,602,224,Vinicius Júnior,FW
2020-2021,20,Real Madrid,es ESP,1. La Liga,2nd,21.9,1108,7,127,327,676,125,1108,81,44,54.3,36,44.4,817,6149,3837,127,89,48,67,42,888,283,Vinicius Júnior,FW
2021-2022,21,Real Madrid,es ESP,1. La Liga,1st,29.9,1729,7,149,434,1172,228,1729,209,95,45.5,114,54.5,1373,10475,6171,225,119,110,86,59,1476,485,Vinicius Júnior,FW
2022-2023,22,Real Madrid,es ESP,1. La Liga,2nd,31.4,1708,3,95,444,1190,260,1708,306,112,36.6,153,50.0,1357,10776,5663,221,98,140,103,61,1460,495,Vinicius Júnior,FW
2023-2024,23,Real Madrid,es ESP,1. La Liga,1st,20.7,1058,2,51,290,733,193,1057,176,65,36.9,95,54.0,797,6384,3440,137,74,88,71,40,888,277,Vinicius Júnior,FW
2024-2025,24,Real Madrid,es ESP,1. La Liga,1st,13.1,643,2,35,188,432,98,641,101,40,39.6,51,50.5,480,4014,2388,89,46,52,31,26,543,141,Vinicius Júnior,FW
2019-2020,18,Real Madrid,es ESP,1. La Liga,1st,11.3,640,1,54,259,338,62,640,55,27,49.1,28,50.9,475,2903,1676,55,36,26,35,8,525,132,Rodrygo,FW
2020-2021,19,Real Madrid,es ESP,1. La Liga,2nd,10.9,566,3,67,220,286,60,566,40,18,45.0,22,55.0,393,2508,1490,45,34,19,30,16,453,99,Rodrygo,FW
2021-2022,20,Real Madrid,es ESP,1. La Liga,1st,16.9,898,3,88,314,507,107,898,58,27,46.6,31,53.4,632,3830,2220,76,55,38,48,15,695,194,Rodrygo,FW
2022-2023,21,Real Madrid,es ESP,1. La Liga,2nd,26.4,1399,3,56,537,822,204,1398,169,81,47.9,68,40.2,1035,6613,3658,146,81,79,64,30,1198,268,Rodrygo,FW
2023-2024,22,Real Madrid,es ESP,1. La Liga,1st,26.4,1352,3,50,414,905,206,1351,147,60,40.8,68,46.3,1002,7409,4344,159,106,84,72,30,1145,301,Rodrygo,FW
