Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,7.6,0,,,,,,,,,,0,0,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,13.7,0,18,4,22.2,1.31,0.29,0.00,0.00,26.4,0,0,0,0.8,0.8,0.04,-0.8,-0.8,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,7.3,0,7,1,14.3,0.96,0.14,0.00,0.00,24.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,21.2,2,22,11,50.0,1.04,0.52,0.09,0.18,23.0,0,0,0,2.0,2.0,0.09,0.0,0.0,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,14.8,3,22,8,36.4,1.49,0.54,0.14,0.38,22.0,0,0,0,2.3,2.3,0.10,+0.7,+0.7,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,20.4,0,34,9,26.5,1.67,0.44,0.00,0.00,25.7,0,0,0,0.9,0.9,0.03,-0.9,-0.9,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,27.8,7,63,21,33.3,2.27,0.76,0.11,0.33,22.7,2,0,0,4.3,4.3,0.07,+2.7,+2.7,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,32.3,2,56,18,32.1,1.74,0.56,0.04,0.11,23.0,1,0,0,3.5,3.5,0.06,-1.5,-1.5,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,18.3,5,24,14,58.3,1.31,0.76,0.21,0.36,27.3,2,0,0,0.9,0.9,0.04,+4.1,+4.1,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,0.9,0,,0,,,0.00,,,,,0,0,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,13.9,1,,4,,,0.29,,0.25,,,0,0,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart II,de GER,3. 3. Liga,14th,3.9,2,,3,,,0.77,,0.67,,,0,0,,,,,,Antonio Rüdiger,DF
2012-2013,19,Stuttgart,de GER,1. Bundesliga,12th,11.1,0,,2,,,0.18,,0.00,,,0,0,,,,,,Antonio Rüdiger,DF
2013-2014,20,Stuttgart,de GER,1. Bundesliga,15th,29.9,2,,6,,,0.20,,0.33,,,0,0,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart,de GER,1. Bundesliga,14th,17.8,0,,2,,,0.11,,0.00,,,0,0,,,,,,Antonio Rüdiger,DF
2014-2015,21,Stuttgart II,de GER,3. 3. Liga,13th,0.8,0,,0,,,0.00,,,,,0,0,,,,,,Antonio Rüdiger,DF
2015-2016,22,Roma,it ITA,1. Serie A,3rd,29.3,2,,6,,,0.20,,0.33,,,0,0,,,,,,Antonio Rüdiger,DF
2016-2017,23,Roma,it ITA,1. Serie A,2nd,24.5,0,10,2,20.0,0.41,0.08,0.00,0.00,,,0,0,,,,,,Antonio Rüdiger,DF
2017-2018,24,Chelsea,eng ENG,1. Premier League,5th,26.0,2,15,4,26.7,0.58,0.15,0.13,0.50,16.5,0,0,0,1.7,1.7,0.12,+0.3,+0.3,Antonio Rüdiger,DF
2018-2019,25,Chelsea,eng ENG,1. Premier League,3rd,31.9,1,27,6,22.2,0.85,0.19,0.04,0.17,18.5,0,0,0,2.5,2.5,0.09,-1.5,-1.5,Antonio Rüdiger,DF
