Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Player,Position
2015-2016,17,Peñarol,uy URU,1. Uruguayan Primera División,1st,12,8,686,7.6,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Federico Valverde,MF
2017-2018,19,La Coruña,es ESP,1. La Liga,18th,24,12,1233,13.7,0,0,0,0,0,0,0,0,0.8,0.8,0.9,1.7,15,66,51,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.13,0.06,0.13,Federico Valverde,MF
2018-2019,20,Real Madrid,es ESP,1. La Liga,3rd,16,6,656,7.3,0,0,0,0,0,0,4,0,0.3,0.3,0.3,0.6,17,58,15,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.08,0.04,0.08,Federico Valverde,MF
2019-2020,21,Real Madrid,es ESP,1. La Liga,1st,33,21,1907,21.2,2,5,7,2,0,0,1,0,2.0,2.0,3.3,5.3,41,112,69,0.09,0.24,0.33,0.09,0.33,0.09,0.16,0.25,0.09,0.25,Federico Valverde,MF
2020-2021,22,Real Madrid,es ESP,1. La Liga,2nd,24,15,1330,14.8,3,1,4,3,0,0,0,0,2.3,2.3,3.1,5.4,41,96,54,0.20,0.07,0.27,0.20,0.27,0.15,0.21,0.36,0.15,0.36,Federico Valverde,MF
2021-2022,23,Real Madrid,es ESP,1. La Liga,1st,31,19,1833,20.4,0,1,1,0,0,0,2,0,0.9,0.9,1.7,2.6,76,129,86,0.00,0.05,0.05,0.00,0.05,0.05,0.08,0.13,0.05,0.13,Federico Valverde,MF
2022-2023,24,Real Madrid,es ESP,1. La Liga,2nd,34,29,2502,27.8,7,4,11,7,0,0,2,0,4.3,4.3,6.3,10.6,70,151,135,0.25,0.14,0.40,0.25,0.40,0.15,0.23,0.38,0.15,0.38,Federico Valverde,MF
2023-2024,25,Real Madrid,es ESP,1. La Liga,1st,37,33,2904,32.3,2,7,9,2,0,0,2,0,3.5,3.5,5.8,9.3,104,231,102,0.06,0.22,0.28,0.06,0.28,0.11,0.18,0.29,0.11,0.29,Federico Valverde,MF
2024-2025,26,Real Madrid,es ESP,1. La Liga,1st,19,19,1650,18.3,5,2,7,5,0,0,3,0,0.9,0.9,1.7,2.6,31,113,38,0.27,0.11,0.38,0.27,0.38,0.05,0.09,0.14,0.05,0.14,Federico Valverde,MF
2011-2012,18,Stuttgart,de GER,1. Bundesliga,6th,1,1,78,0.9,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Antonio Rüdiger,DF
2011-2012,18,Stuttgart II,de GER,3. 3. Liga,11th,17,15,1253,13.9,1,1,2,1,0,0,4,1,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,Antonio Rüdiger,DF
