,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,61405,8,BlockedShot,0.87,0.3940000152587891,0.08428460359573364,Serhou Guirassy,h,3738,OpenPlay,2015,RightFoot,1869,Lille,Paris Saint Germain,0,1,2015-08-07 22:30:00,Sofiane Boufal,Pass
1,61413,59,SavedShot,0.9669999694824218,0.4129999923706055,0.4665980041027069,Serhou Guirassy,h,3738,OpenPlay,2015,RightFoot,1869,Lille,Paris Saint Germain,0,1,2015-08-07 22:30:00,,None
2,61840,74,SavedShot,0.779000015258789,0.48700000762939455,0.02247530035674572,Serhou Guirassy,h,3738,OpenPlay,2015,RightFoot,1896,Lille,Bordeaux,0,0,2015-08-23 16:00:00,Vincent Enyeama,Pass
3,64076,62,MissedShots,0.924000015258789,0.5109999847412109,0.11164399981498718,Serhou Guirassy,a,3738,FromCorner,2015,Head,2004,Troyes,Lille,1,1,2015-11-21 23:00:00,Florent Balmont,Cross
4,64086,74,SavedShot,0.919000015258789,0.664000015258789,0.062066301703453064,Serhou Guirassy,a,3738,OpenPlay,2015,RightFoot,2004,Troyes,Lille,1,1,2015-11-21 23:00:00,Renato Civelli,Chipped
5,130731,77,MissedShots,0.9590000152587891,0.4540000152587891,0.5537970066070557,Serhou Guirassy,a,3738,OpenPlay,2016,OtherBodyPart,3196,Hoffenheim,FC Cologne,4,0,2016-12-03 18:30:00,Frederik Sörensen,Aerial
6,166065,85,MissedShots,0.9569999694824218,0.534000015258789,0.5761330127716064,Serhou Guirassy,h,3738,OpenPlay,2017,Head,8268,FC Cologne,Hamburger SV,1,3,2017-08-25 19:30:00,Jannes Horn,Cross
7,166068,94,MissedShots,0.9280000305175782,0.4420000076293945,0.09393499791622162,Serhou Guirassy,h,3738,FromCorner,2017,Head,8268,FC Cologne,Hamburger SV,1,3,2017-08-25 19:30:00,Milos Jojic,Cross
8,166373,81,MissedShots,0.94,0.27899999618530275,0.0592540018260479,Serhou Guirassy,a,3738,OpenPlay,2017,LeftFoot,8282,Augsburg,FC Cologne,3,0,2017-09-09 14:30:00,Marco Höger,TakeOn
9,166375,87,MissedShots,0.8959999847412109,0.48900001525878906,0.03442800045013428,Serhou Guirassy,a,3738,SetPiece,2017,Head,8282,Augsburg,FC Cologne,3,0,2017-09-09 14:30:00,Jonas Hector,Aerial
10,166376,88,MissedShots,0.8769999694824219,0.3129999923706055,0.03493630141019821,Serhou Guirassy,a,3738,OpenPlay,2017,LeftFoot,8282,Augsburg,FC Cologne,3,0,2017-09-09 14:30:00,Marco Höger,Chipped
11,166378,92,BlockedShot,0.919000015258789,0.45799999237060546,0.03897149860858917,Serhou Guirassy,a,3738,FromCorner,2017,Head,8282,Augsburg,FC Cologne,3,0,2017-09-09 14:30:00,Jonas Hector,Aerial
12,167967,95,SavedShot,0.9480000305175781,0.5870000076293945,0.3090299963951111,Serhou Guirassy,a,3738,OpenPlay,2017,RightFoot,8330,VfB Stuttgart,FC Cologne,2,1,2017-10-13 19:30:00,Lukas Klünter,Chipped
13,168038,5,MissedShots,0.9119999694824219,0.4929999923706055,0.3432469964027405,Serhou Guirassy,h,3738,OpenPlay,2017,Head,8332,FC Cologne,Werder Bremen,0,0,2017-10-22 12:30:00,Yuya Osako,Cross
