,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,154180,93,Goal,0.9319999694824219,0.46599998474121096,0.3704090118408203,Moise Kean,a,1304,SetPiece,2016,Head,3715,Bologna,Juventus,1,2,2017-05-27 17:00:00,Miralem Pjanic,Chipped
1,173223,56,MissedShots,0.9359999847412109,0.4209999847412109,0.11155799776315689,Moise Kean,h,1304,FromCorner,2017,RightFoot,7523,Verona,Fiorentina,0,5,2017-09-10 14:00:00,Martín Cáceres,HeadPass
2,173222,56,BlockedShot,0.805,0.534000015258789,0.03250269964337349,Moise Kean,h,1304,OpenPlay,2017,RightFoot,7523,Verona,Fiorentina,0,5,2017-09-10 14:00:00,,None
3,173504,9,MissedShots,0.8369999694824218,0.3240000152587891,0.03520369902253151,Moise Kean,a,1304,OpenPlay,2017,RightFoot,7535,Roma,Verona,3,0,2017-09-16 19:45:00,Rômulo,Pass
4,173516,44,BlockedShot,0.8290000152587891,0.4209999847412109,0.038023900240659714,Moise Kean,a,1304,OpenPlay,2017,RightFoot,7535,Roma,Verona,3,0,2017-09-16 19:45:00,Alex Ferrari,Chipped
5,173780,82,MissedShots,0.7930000305175782,0.455,0.04232100024819374,Moise Kean,h,1304,OpenPlay,2017,RightFoot,7544,Verona,Sampdoria,0,0,2017-09-20 19:45:00,,BallRecovery
6,173993,85,MissedShots,0.7240000152587891,0.4540000152587891,0.014171100221574306,Moise Kean,h,1304,OpenPlay,2017,RightFoot,7552,Verona,Lazio,0,3,2017-09-24 14:00:00,Lee Seung-Woo,BallTouch
7,174381,8,BlockedShot,0.89,0.524000015258789,0.090549997985363,Moise Kean,a,1304,OpenPlay,2017,RightFoot,7567,Torino,Verona,2,2,2017-10-01 14:00:00,,None
8,174391,48,MissedShots,0.9069999694824219,0.5220000076293946,0.08217749744653702,Moise Kean,a,1304,OpenPlay,2017,Head,7567,Torino,Verona,2,2,2017-10-01 14:00:00,Alessio Cerci,Cross
9,174394,57,MissedShots,0.8630000305175781,0.5940000152587891,0.05280889943242073,Moise Kean,a,1304,OpenPlay,2017,LeftFoot,7567,Torino,Verona,2,2,2017-10-01 14:00:00,Daniele Verde,Chipped
