,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,481168,12,BlockedShot,0.9119999694824219,0.27700000762939453,0.04956769943237305,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,18967,Valencia,Girona,1,0,2022-08-14 17:30:00,,Dispossessed
1,481188,93,MissedShots,0.8859999847412109,0.5590000152587891,0.01484960038214922,Valentín Castellanos,a,10948,FromCorner,2022,Head,18967,Valencia,Girona,1,0,2022-08-14 17:30:00,Aleix García,Aerial
2,483180,22,MissedShots,0.8969999694824219,0.41900001525878905,0.10592299699783325,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,18981,Girona,Getafe,3,1,2022-08-22 20:00:00,,Rebound
3,483187,63,Goal,0.9080000305175782,0.3729999923706055,0.45589300990104675,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,18981,Girona,Getafe,3,1,2022-08-22 20:00:00,Yangel Herrera,Throughball
4,483250,21,BlockedShot,0.7019999694824218,0.40400001525878904,0.012710499577224255,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,18982,Girona,Celta Vigo,0,1,2022-08-26 18:00:00,,BallRecovery
5,483258,47,BlockedShot,0.8869999694824219,0.5370000076293945,0.053989700973033905,Valentín Castellanos,h,10948,FromCorner,2022,RightFoot,18982,Girona,Celta Vigo,0,1,2022-08-26 18:00:00,Cristhian Stuani,Cross
6,483261,54,BlockedShot,0.8590000152587891,0.46599998474121096,0.07306669652462006,Valentín Castellanos,h,10948,OpenPlay,2022,LeftFoot,18982,Girona,Celta Vigo,0,1,2022-08-26 18:00:00,,Rebound
7,485665,1,SavedShot,0.74,0.6270000076293946,0.016569599509239197,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19001,Mallorca,Girona,1,1,2022-09-03 12:00:00,David López,BallRecovery
8,487261,54,BlockedShot,0.9030000305175782,0.665,0.07789350301027298,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19008,Girona,Real Valladolid,2,1,2022-09-09 19:00:00,Arnau Martinez,Pass
9,487269,79,MissedShots,0.925,0.55,0.4278550148010254,Valentín Castellanos,h,10948,SetPiece,2022,Head,19008,Girona,Real Valladolid,2,1,2022-09-09 19:00:00,Juanpe,HeadPass
10,487270,81,MissedShots,0.9290000152587891,0.49,0.14530199766159058,Valentín Castellanos,h,10948,OpenPlay,2022,Head,19008,Girona,Real Valladolid,2,1,2022-09-09 19:00:00,Yan Couto,Cross
11,491021,33,BlockedShot,0.9230000305175782,0.3920000076293945,0.07844740152359009,Valentín Castellanos,h,10948,OpenPlay,2022,Head,19025,Girona,Real Sociedad,3,5,2022-10-02 16:30:00,Manu Vallejo,Cross
12,491026,47,Goal,0.8009999847412109,0.37900001525878907,0.03180519863963127,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19025,Girona,Real Sociedad,3,5,2022-10-02 16:30:00,Manu Vallejo,Pass
13,491038,88,BlockedShot,0.8880000305175781,0.46,0.10585799813270569,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19025,Girona,Real Sociedad,3,5,2022-10-02 16:30:00,Yan Couto,Pass
14,491661,56,MissedShots,0.8859999847412109,0.5159999847412109,0.047321900725364685,Valentín Castellanos,a,10948,OpenPlay,2022,Head,19032,Atletico Madrid,Girona,2,1,2022-10-08 14:15:00,Yangel Herrera,HeadPass
15,491665,69,SavedShot,0.8009999847412109,0.7030000305175781,0.02434529922902584,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19032,Atletico Madrid,Girona,2,1,2022-10-08 14:15:00,Rodrigo Riquelme,Pass
16,492876,7,MissedShots,0.919000015258789,0.40599998474121096,0.0867307037115097,Valentín Castellanos,h,10948,OpenPlay,2022,LeftFoot,19049,Girona,Cadiz,1,1,2022-10-15 12:00:00,Yangel Herrera,Cross
17,492878,16,SavedShot,0.85,0.3160000038146973,0.03491630032658577,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19049,Girona,Cadiz,1,1,2022-10-15 12:00:00,Arnau Martinez,Pass
18,492896,66,ShotOnPost,0.894000015258789,0.580999984741211,0.09589909762144089,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19049,Girona,Cadiz,1,1,2022-10-15 12:00:00,Cristhian Stuani,Pass
19,492900,81,MissedShots,0.924000015258789,0.415,0.021186500787734985,Valentín Castellanos,h,10948,FromCorner,2022,Head,19049,Girona,Cadiz,1,1,2022-10-15 12:00:00,Aleix García,Aerial
20,494554,64,MissedShots,0.9440000152587891,0.5629999923706055,0.07882700115442276,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19056,Almeria,Girona,3,2,2022-10-20 17:00:00,Cristhian Stuani,HeadPass
21,495866,38,BlockedShot,0.764000015258789,0.695,0.019141100347042084,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19064,Girona,Osasuna,1,1,2022-10-23 16:30:00,Toni Villa,Pass
22,497283,2,MissedShots,0.904000015258789,0.5179999923706055,0.451541006565094,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19081,Real Madrid,Girona,1,1,2022-10-30 15:15:00,,None
23,497298,59,SavedShot,0.720999984741211,0.7469999694824219,0.012260300107300282,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19081,Real Madrid,Girona,1,1,2022-10-30 15:15:00,Rodrigo Riquelme,TakeOn
24,497713,46,SavedShot,0.9330000305175781,0.3039999961853027,0.05758899822831154,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19087,Girona,Athletic Club,2,1,2022-11-04 20:00:00,Miguel Gutiérrez,Pass
25,497714,47,SavedShot,0.7719999694824219,0.4909999847412109,0.04056650027632713,Valentín Castellanos,h,10948,OpenPlay,2022,RightFoot,19087,Girona,Athletic Club,2,1,2022-11-04 20:00:00,Valery Fernández,TakeOn
26,499098,53,SavedShot,0.845,0.720999984741211,0.03225129842758179,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19093,Elche,Girona,1,2,2022-11-08 18:00:00,Javi Hernández,Pass
27,499103,63,MissedShots,0.8159999847412109,0.485,0.06148210167884827,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19093,Elche,Girona,1,2,2022-11-08 18:00:00,Arnau Martinez,Pass
28,499104,65,Goal,0.9369999694824219,0.4329999923706055,0.5099350214004517,Valentín Castellanos,a,10948,OpenPlay,2022,RightFoot,19093,Elche,Girona,1,2,2022-11-08 18:00:00,Arnau Martinez,Pass
