,id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
0,15217,92,MissedShots,0.8230000305175781,0.36900001525878906,0.0623646005988121,Mohamed Salah,h,1250,OpenPlay,2014,LeftFoot,4720,Chelsea,Swansea,4,2,2014-09-13 15:00:00,Eden Hazard,Pass
1,20034,84,SavedShot,0.92,0.5320000076293945,0.4399380087852478,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4560,Tottenham,Chelsea,5,3,2015-01-01 17:30:00,Eden Hazard,Pass
2,46908,87,BlockedShot,0.8859999847412109,0.5659999847412109,0.09675999730825424,Mohamed Salah,h,1250,OpenPlay,2014,LeftFoot,4929,Fiorentina,Atalanta,3,2,2015-02-08 11:30:00,Mario Gomez,BallTouch
3,47192,0,SavedShot,0.9640000152587891,0.6880000305175781,0.049131400883197784,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4937,Sassuolo,Fiorentina,1,3,2015-02-14 17:00:00,David Pizarro,Chipped
4,47197,16,MissedShots,0.9,0.6769999694824219,0.06032019853591919,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4937,Sassuolo,Fiorentina,1,3,2015-02-14 17:00:00,Khouma Babacar,Pass
5,47200,29,Goal,0.855,0.47400001525878904,0.349265992641449,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4937,Sassuolo,Fiorentina,1,3,2015-02-14 17:00:00,Khouma Babacar,Throughball
6,47300,84,Goal,0.87,0.44,0.1081869974732399,Mohamed Salah,h,1250,OpenPlay,2014,RightFoot,4952,Fiorentina,Torino,1,1,2015-02-22 19:45:00,Alberto Gilardino,Pass
7,47398,54,Goal,0.885,0.5529999923706055,0.3872990012168884,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4886,Inter,Fiorentina,0,1,2015-03-01 17:00:00,,None
8,48963,92,BlockedShot,0.879000015258789,0.38,0.07534659653902054,Mohamed Salah,a,1250,OpenPlay,2014,LeftFoot,4916,Udinese,Fiorentina,2,2,2015-03-22 19:45:00,,BallTouch
9,48276,41,BlockedShot,0.8919999694824219,0.34400001525878904,0.09260749816894531,Mohamed Salah,h,1250,OpenPlay,2014,LeftFoot,4837,Fiorentina,Sampdoria,2,0,2015-04-04 17:30:00,,TakeOn
10,48282,49,MissedShots,0.8919999694824219,0.30200000762939455,0.044689200818538666,Mohamed Salah,h,1250,OpenPlay,2014,LeftFoot,4837,Fiorentina,Sampdoria,2,0,2015-04-04 17:30:00,Micah Richards,Pass
11,48288,63,Goal,0.905,0.35200000762939454,0.3791790008544922,Mohamed Salah,h,1250,OpenPlay,2014,RightFoot,4837,Fiorentina,Sampdoria,2,0,2015-04-04 17:30:00,Mario Gomez,TakeOn
12,49127,71,BlockedShot,0.8590000152587891,0.46700000762939453,0.06918240338563919,Mohamed Salah,h,1250,OpenPlay,2014,LeftFoot,4860,Fiorentina,Verona,0,1,2015-04-20 19:45:00,Alessandro Diamanti,Cross
13,49463,22,MissedShots,0.98,0.40799999237060547,0.16068899631500244,Mohamed Salah,h,1250,OpenPlay,2014,Head,4869,Fiorentina,Cagliari,1,3,2015-04-26 17:00:00,Manuel Pasqual,Cross
